Tecnica,Epoca,Acuracia,Loss,Tempo(s)
Albument,15,61.16,0.7928936292853537,2.660412073135376
Albument,16,61.5,0.7351135686983036,2.489427328109741
Albument,17,62.27,0.6901217725458024,2.444821834564209
Albument,18,62.21,0.674062205266349,2.4808361530303955
Albument,19,62.51,0.6377388653875906,2.501984119415283
Albument,20,61.43,0.5949062252346473,2.586888074874878
Albument,21,62.92,0.5846275521230094,2.5581042766571045
Albument,22,62.41,0.5404301821431027,2.4455950260162354
Albument,23,61.33,0.5309971216358716,2.556101083755493
Albument,24,63.63,0.4926670650138131,2.616029739379883
Albument,25,62.28,0.46914199334156664,2.5268990993499756
CutMix,1,37.03,2.1210948696619347,3.4500980377197266
CutMix,2,44.15,1.928456576564644,2.3211660385131836
CutMix,3,46.36,1.8880924242961257,2.381899118423462
CutMix,4,49.99,1.806986390789853,2.366798162460327
CutMix,5,50.41,1.74063763286494,2.3397929668426514
CutMix,6,52.27,1.7170945360690733,2.2538390159606934
CutMix,7,52.98,1.693869874447207,2.288038730621338
CutMix,8,56.06,1.6374704234207733,2.2632200717926025
CutMix,9,55.72,1.6155695749234549,2.385805130004883
CutMix,10,55.8,1.6108831800991976,2.3498737812042236
CutMix,11,55.96,1.5395532061782065,2.377173900604248
CutMix,12,56.22,1.4967527133000047,2.2803688049316406
CutMix,13,59.02,1.4849839248234713,2.3135883808135986
CutMix,14,58.17,1.449448447438735,2.329444169998169
CutMix,15,58.19,1.4516881017745296,2.3074140548706055
CutMix,16,59.3,1.3958152804193618,2.2799360752105713
CutMix,17,60.25,1.4371121510674683,2.298156976699829
CutMix,18,60.22,1.3310672157927403,2.2821600437164307
CutMix,19,57.93,1.335191327559797,2.3967978954315186
CutMix,20,59.69,1.3303247346908231,2.3283679485321045
CutMix,21,59.37,1.348098610020891,2.3069350719451904
CutMix,22,59.29,1.3082317577887186,2.273339033126831
CutMix,23,59.15,1.308409874197803,2.3177058696746826
CutMix,24,59.66,1.1787898887561847,2.3024089336395264
CutMix,25,59.08,1.2334957881064355,2.310857057571411
Rand->Albument,1,35.53,2.0987047802043866,3.2268080711364746
Rand->Albument,2,44.34,1.8301734154737448,3.717306137084961
