Tecnica,Epoca,Acuracia,Loss,Tempo(s)
Trivial->AugMix,21,47.09,1.3484383165836333,2.5456910133361816
Trivial->AugMix,22,46.89,1.3438742756843567,2.4965219497680664
Trivial->AugMix,23,46.39,1.3240915179252624,2.4870200157165527
Trivial->AugMix,24,47.84,1.2776464700698853,2.5152268409729004
Trivial->AugMix,25,49.13,1.2568304538726807,2.4996938705444336
Trivial->CutMix,1,25.42,2.3013448238372805,1.7226347923278809
Trivial->CutMix,2,24.93,2.2558337926864622,1.7293989658355713
Trivial->CutMix,3,30.82,2.2262153029441833,1.7325170040130615
Trivial->CutMix,4,33.38,2.181745743751526,1.6887321472167969
Trivial->CutMix,5,31.41,2.155180585384369,1.6907188892364502
Trivial->CutMix,6,37.66,2.102488797903061,1.6950619220733643
Trivial->CutMix,7,38.35,2.110443192720413,1.716425895690918
Trivial->CutMix,8,38.97,2.0829803705215455,1.7306013107299805
Trivial->CutMix,9,40.67,2.0563674449920653,1.815040111541748
Trivial->CutMix,10,39.06,2.0417339861392976,1.977484941482544
Trivial->CutMix,11,41.48,2.0533297777175905,1.7420332431793213
Trivial->CutMix,12,42.54,1.986318051815033,1.7686488628387451
Trivial->CutMix,13,42.6,2.030902534723282,2.0182247161865234
Trivial->CutMix,14,42.99,2.001438397169113,1.760113000869751
Trivial->CutMix,15,44.13,1.9722037076950074,2.936422348022461
Trivial->CutMix,16,43.86,2.015442132949829,2.289348840713501
Trivial->CutMix,17,44.12,1.9632296562194824,2.0074267387390137
Trivial->CutMix,18,42.83,1.9305342733860016,2.01004695892334
Trivial->CutMix,19,44.74,1.9118686199188233,1.7763590812683105
Trivial->CutMix,20,43.07,1.9324310719966888,1.9622471332550049
Trivial->CutMix,21,46.03,1.9092408418655396,1.8272731304168701
Trivial->CutMix,22,45.61,1.9002193808555603,1.7270689010620117
Trivial->CutMix,23,43.32,1.97417032122612,1.8604578971862793
Trivial->CutMix,24,46.42,1.9367970466613769,2.0135457515716553
Trivial->CutMix,25,45.87,1.8525300562381743,2.0530807971954346
Albument->CutMix,1,24.38,2.248113691806793,1.7047200202941895
Albument->CutMix,2,30.54,2.0891739428043365,1.5943970680236816
Albument->CutMix,3,32.72,2.088192254304886,1.6416449546813965
Albument->CutMix,4,38.26,2.028987765312195,1.6307640075683594
Albument->CutMix,5,38.35,1.9840267181396485,1.5952303409576416
Albument->CutMix,6,36.22,2.006852787733078,1.597632884979248
Albument->CutMix,7,41.47,1.9849366784095763,1.5994019508361816
Albument->CutMix,8,41.69,1.9050026178359984,1.667550802230835
Albument->CutMix,9,44.73,1.8560197472572326,1.6168529987335205
Albument->CutMix,10,42.99,1.844858056306839,1.615962266921997
Albument->CutMix,11,44.85,1.869952630996704,1.6098709106445312
Albument->CutMix,12,45.41,1.8258484184741974,1.675623893737793
Albument->CutMix,13,46.71,1.8492977380752564,1.5696830749511719
Albument->CutMix,14,46.03,1.8992749214172364,1.6358330249786377
